,title,date,content
10,More attractions to be set up at Botanical-Centennial Park,"APRIL 16, 2023","  Plans are afoot for incorporating more “added attractions” at the city’s iconic Botanical-Centennial Park including music to enhance the experience of visitors to the popular promenade area.      
During the management committee meeting of local officials at City Hall on April 11, Mayor Benjamin Magalong directed City Environment and Parks Management Office head Rhenan Diwas to purchase the needed sound system for the purpose.      
The Cepmo manages the upkeep and overall operations of the Botanical Garden, located along Leonard Wood Road.      
Diwas informed the mayor that purchase of the sound equipment is already incorporated in his office’s budget and is undergoing the proper governmental procurement process.      
Magalong said putting additional attractions at the Botanical-Centennial Park would generate greater revenues for the city’s coffers by enticing more visitors.      
Diwas said selected musicians or buskers were temporarily allowed to play at the area and entertain promenaders while the sound system was still being purchased.      
The Botanical Garden is home to indigenous plants and flowers of the Cordillera, and is one of the city’s top tourist draws. – Gaby B. Keith  "
11,The beauty of diversity: Promoting inclusivity through body positivity,"APRIL 16, 2023","  Body positivity is a movement that has been gaining momentum in recent years, and for good reason. Society has long perpetuated unrealistic beauty standards that can have a negative impact on our self-esteem and mental health. The body positivity movement aims to challenge these standards and promote acceptance of all body types, shapes, and sizes.
Body positivity is about embracing yourself, flaws and all. It is about recognizing that we are all unique and beautiful in our own way, and that there is no such thing as a perfect body. It is about rejecting the idea that we need to conform to society’s beauty standards to be accepted and loved.
One of the key messages of the body positivity movement is that everyone deserves to be confident and comfortable in their own skin. This is particularly important for those who have historically been marginalized and excluded from mainstream beauty standards, such as people of color, people with disability, and those who are plus-size.
The body positivity movement encourages us to celebrate diversity and to embrace our own individuality. It is not about promoting unhealthy lifestyles or encouraging people to disregard their health. Rather, it is about recognizing that health comes in many different shapes and sizes, and that we should not judge others based on their appearance.
There are many ways to promote body positivity in our daily lives. One of the most important things we can do is to practice self-love and self-acceptance. This means treating ourselves with kindness and compassion, and learning to appreciate our bodies for what they are. It also means being mindful of the language we use when talking about ourselves and others, and avoiding negative self-talk or body shaming.
Another way to promote body positivity is to support brands and companies that prioritize inclusivity and diversity. This means seeking out clothing lines that offer a wide range of sizes and styles, as well as beauty products that are designed for people of all skin tones and hair textures. It also means advocating for more representation of diverse bodies in media and advertising.
The body positivity movement has come a long way, but there is still work to be done. We must continue to challenge the beauty standards that have been imposed upon us and promote acceptance and inclusivity in all aspects of society. By embracing our own unique beauty and celebrating the diversity of others, we can create a world that is truly body positive.  "
12,Agencies told to provide standards on ROW claims,"APRIL 16, 2023","  City officials requested the Baguio City District Engineering Office (BCDEO) and the Lands Management Service (LMS) of the Department of the Environment and Natural Resources for guidance on the procurements on the widths of road-right-of-way in the maintenance of national and/or city roads.         
In Resolution 197, s. 2023, the council asked the BCDEO and the LMS to clarify the rule on the measurement of road-right-of-way (ROW); exemptions to the rule; the application of Executive Order 621 which provides for national roads to have a right of way of not less than 20 meters and may further be reduced to 15m. in urban areas.
The council also wants to be clarified on how ROW maybe reserved and the difference between patented and unpatented lands affected by road widening projects.          
The city council earlier invited representatives of BCDEO, City Planning and Development Office, and the Public Order and Safety Division to clarify on the implementation of the city’s ROW infrastructure projects where various issues and concerns have been raised on the standard ROW of national and city roads.
The council expressed hope the concerned government agencies will be able to provide the legal basis in ascertaining the ROW of national and city roads for the guidance of policy-makers and decision-makers. – PIO release  "
13,Breaking free from the competition trap: Embracing life on your own terms,"APRIL 16, 2023","  The competition trap is a mindset that plagues us from a young age. Because of the belief that success is only measured by our accomplishments and being the best is the only way to get ahead in life, we are constantly pushing ourselves to be better than others. This kind of mentality is not only detrimental to our mental health but can also hinder us from leading fulfilling lives. Let’s try to explore the competition trap and how we can free ourselves from it by embracing life on our own terms.
It’s crucial to understand that life is not a competition. We are all on different paths in our lives and success should be measured by our individual goals and accomplishments, not by how we stack up against others. When we shift our focus from comparison to self-improvement and personal growth, we can find happiness and fulfillment that are true to ourselves.
One way to break free from the competition trap is by shifting from a fixed mindset to a growth mindset. A fixed mindset is the idea that our abilities and talents are set in stone, while a growth mindset suggests that we can improve and develop our skills through hard work and dedication. By adopting a growth mindset, we can focus on our own progress and development, rather than comparing ourselves to others.
Another way to break free from the competition trap is to embrace collaboration over competition. When we work with others, we can achieve great things and create something greater than ourselves. Collaboration enables us to learn from others, gain new perspectives, and achieve things that we couldn’t have achieved alone. By shifting our focus from competition to collaboration, we can live a fulfilling life and find happiness through working with others.
The competition trap is a dangerous mindset that can prevent us from leading fulfilling lives. By embracing life on our own terms and shifting our mindset to focus on personal growth and collaboration, we can break free from the competition trap and live a fulfilling life that is true to ourselves. Remember that life is not a competition, but a journey that we are all on together.  "
14,Tan anan-ak ka: Empowering the youth to become transformational leaders,"APRIL 16, 2023","  Since time immemorial, the concept of leadership in the Cordillera belongs to the elders of the community. They are known as the “manapat” (wise elder) or “lalakay” (council of elders), and they are responsible for making major political decisions. They are also the peace settlers, consultants, and the keepers of lore and tradition. Their decisions are well accepted and respected by the community.
With the changes being experienced in society’s values, practices, governance and leadership due to modernization, the youth of today becomes the frontier in filling the gaps to address current societal problems. However, their presence in politics is usually being challenged by the elders in position. Historically, the political setup has been dominated by elders. That is why the youth are being seen as “Tan anan-ak ka pay lang adem amo dana” when it comes to leadership and governance, which is why the youth also struggle to learn and develop their knowledge and skills in leadership. This scenario paralyzes and limits the ability of the youth to navigate their path in public service and understand societal issues that would help them come up with applicable, effective, and efficient solutions.
Treating them as mere children does not help in harnessing their full potential to become initiators of change the society is hoping for. Certainly youth may not have gained enough experience, but their will to help their community progress does not differ from what the elders are doing today. The youth of today are the next generation to ascend in public service. If we set aside the connotation that “tan anan-ak ka” or because they are mere kids and the norm that elders should be the decision makers, we can empower the youth in the aspect of leadership, governance, decision making, and active citizenship. This will equip them with the intellect and capabilities they need to become leaders of tomorrow. They would lead change in the community’s development.
Indeed the youth are the future of our community. With proper guidance, they can become transformational leaders that would bring progressive development in society. With their innovative and impactful ideas, they can tackle societal issues. Let the youth lead.  "
15,62 enthusiasts join in fishing tournament at Burnham Lake,"APRIL 16, 2023","  A total of 62 fishing enthusiasts from in and outside Baguio participated in the Baguio Summer Fishing Tournament last April 1 at the Burnham Park Lake.
Tournament coordinator Rafael Serrano who organized the competition in coordination with the City Environment and Parks Management Office said this so far was the highest turnout of participants almost doubling the numbers from the other three fishing events previously staged.
Participants came from Baguio; La Trinidad, Benguet; Bulacan, Pangasinan, Nueva Ecija, La Union, and Abra.
During the contest, the participants were divided into four batches of 15 and 16 members to make it to the championship round.
Each batch was given one hour to compete and each batch winner advanced to compete for the final round for another hour.
The batch winners are Clemen Encarnacion from batch 1 who accumulated a total of 36.5 inches of fish; Roden Ivan Narcilla from batch 2 who accumulated a total of 33.11 inches of fish; and John Alcantara from batch 3 and Rolly Manoquit from batch 4 who both accumulated a total of 34.5 inches of fish.
The top prize was bagged by batch 3 winner, Alcantara, who accumulated a total of 34.5 inches of fish for the final round followed by Narcilla, Manoquit and Encarnacion.
Serrano said that all four winners will take home a prize and will be awarded during the flag-raising ceremony at the Baguio City Hall on May 8.
According to Serrano, the small fishes caught by the participants were returned to the lake.
The tournament’s champion Johnjohn Alcantara, from the Bulacan-based group Baliwag Anglers, said he was pleasantly surprised to have taken the top spot since he and his group only joined for fun and experience. It was also his first time joining a fishing competition despite practicing fishing for almost three years.
Because of the increase of public interest, as well as the city’s plan to further rehabilitate the Baguio Burnham Lake, the future of fishing tournaments in the city looks bright.
Serrano plans to have another fishing tournament on June 12 and is hoping to further increase the number of participants. – Aileen Refuerzo and Paula Stephanie Morales  "
16,Longing for justice: A fractured hope,"APRIL 16, 2023","  The sound of the mallet striking the gavel resonates inside the courtroom as the judge stands and announces his decision. Family, friends, sons, and daughters wait nervously and anxiously for the outcome. The moment is an occasion that represents justice, an idea that those who are accused falsely will have their fate and hope restored and that they may be treated with respect and fairness.
People who have experienced persecution and unfairness in their lives for God knows how long have been powerless throughout their suffering and the worst feeling of being shoved on the ground. Knowing that the fire was beneath their feet, their agony lingers to the very part of their minds and souls. The bitter truth that they have witnessed of others going through punishments beyond their imagination gave shivers down their spines. These individuals’ struggle to gain the basic amenities devastated their morale in life. They have suffered for long but now, a silver lining has shown upon them, their hopeful spirits that thirst for justice is about to be quenched.
Our justice system has become more inclusive, giving everyone the right to seek the truth and the judgment they deserve. Liberty is more than just being free. It encourages the soul to sing happily, reminding us that everyone should be treated with regard. Liberty is a valuable and crucial guarantee to our society, and it is not just a matter of words.
It is said that it was never the feat of any oppressed to win the battle against the oppressor. Deeply rooted corruption is the main reason why society is in chaos. The act consumes the very core values of society, which results in havoc.
It was never an easy task to obtain the much-wanted unbiased judgment, especially in a society clouded by prejudice and tyranny. It takes tons of courage and spirit to counterflow that judicial system that carries out the self-esteem of those who have been persecuted.
These issues that have been crippling our society for years must be addressed. Let us wholeheartedly advocate for society’s tranquility. Let us charge forward with courage and not be petrified by the difficulties that we may meet along the way. Stand tall, and don’t be afraid of the questions that they will throw at you.
Justice should be objective. It should not be tainted with personal feelings nor favor those who are on the pedestal. Freedom is for everyone. It is the liberty to do what is needed to do in accordance with the norms and laws of society. Having these two will put our society into equilibrium and a sense of choice in our lives. We must continue fighting against injustice to bring forth freedom. Remember to kill your enemies with kindness and not with wickedness. We all deserve to live a decent life. We all deserve to have joy in our hearts. We all deserve to enjoy what this world will offer.
The truth will always prevail. It may take twists and turns but the innocents will come forward to claim the rightful verdict they deserve. Leo Tolstoy’s “God sees the truth but Waits” is an epitome that everything has the right timing. God sees our every tear, listens to our every prayer, and is never quiet about our pain. He is everywhere and He will deliver.  "
17,The future of hope,"APRIL 16, 2023","  Our existence is regularly tinged with distress and anguish. A few individuals are more affected by this anguish than others, yet everybody can overcome problems with hope. Hope gives us the courage to conquer the darkness and hopelessness brought on by misery and emotional pain. Hope inspires us to keep the faith and to trek onward amid obstacles that eventually prevent the journey through life, regardless of when, where, or how our daily life tale will ease.
Each of us needs it, and nearly everyone who has made it this much further in existence, has at least a certain level of hope. It is not enough to request for something to occur.
Hope is more crucial as it involves the determination to get there and the different paths you select along the situation. Numerous directions on the matter are the various choices you have along the road of life; such determinations can have a wide range of consequences.
Life has challenges, and it takes many wrong decisions to figure out the correct path. However, it lets you go down those different roads to see things wrong and find the most suitable thought. Hope is not pure fantasy or exaggeration; it is an expression, a mind frame, a faith you make your own, and an inspiration to stay the course regardless of the circumstances; you think that your journey will deal out amidst the strange occurrences that could happen along the way; and you believe that when you take your last breath, there is a more fantastic thing having to wait for you further than this universe. When you have hope, you can accomplish unimaginable feats.
We should act in order to realize our vision of hope. Everyone’s experience with satisfying our impression of hope is unique. Rather than being appreciative of what you do have, they keep hoping and wishing for what those who do not have. Regardless of what occurs, the most important thing we can do in life is to remain hopeful and believe in ourselves.
I would like to motivate you that you have value and significance, although you cannot see or acknowledge it right now. It is critical to be gentle with yourself and to take it easy. Acknowledging that things are tough right now can be helpful too. Please have faith in yourself as well as in what life may offer. Believe in your potential to navigate this challenging period. Healing is a journey that like any other, requires patience. Things will delight you, comfort you, and show you that destiny can be more vital than it appears today. Do not give up hope and remain consistent in your studies, and nothing will stop you from reaching your targets and making your goals a reality.  "
18,CEPMO stops deepwell drilling,"APRIL 16, 2023","  The City Environment and Parks Management Office issued a stoppage order to a resident drilling a deepwell in one barangay in the city.
In a report to Mayor Benjamin Magalong, Engr. Sofronio Pascua of the Cepmo said the owner was advised to secure a permit before proceeding with the drilling.
Pascua said they will continue monitoring the site and others of similar situations.
Asst. Cepmo head Marivic Empizo said illegal deepwell drilling is punishable under the Environment Code with a maximum fine of P5,000 after court procedure.
She said there is an ongoing inventory of deepwells in the city by a committee headed by the Department of the Environment and Natural Resources and Water Utilization Section under the National Water Resources Board (NWRB), and the Cepmo.
“If there are drillings reported, these are ordered to stop then monitored by barangay officials to get water drilling permits,” Empizo said.
The city government and the Baguio Water District had requested the NWRB to address the proliferation of illegal deepwells in the city being one of the causes of the declining yield of water as these deplete the recharge of underground sources resulting to the decline in pumping water levels.
In 2021, the city listed a total of 210 permitted water companies drawing from the city’s aquifers while the number of those that do not have permit was still not determined. – Aileen P. Refuerzo  "
19,1st CGFI Cup to assemble top players in Cordillera,"APRIL 16, 2023","MORE PRACTICE ROUNDS — Golfers from the Cordillera hold regular games at Camp John Hay, one of the hosts of the inaugural Cordillera Golfers Foundation Inc. Cup set on May 18 to 20 at CJH and Pinewoods Golf & Country Club. The event aims to raise funds for the various civic projects of the charity group. — Harley Palangchao   The inaugural Cordillera Golfers Foundation Inc. Cup is gaining ground as players and some sponsors have signified support for the event set on May 18 to 20 at Camp John Hay and Pinewoods Golf and Country Club. Letters of invite were already dispatched to the various golf clubs and associations in the Cordillera and rest of the country, as CGFI is targeting around 72 teams composed of 288 players. CGFI earlier announced the tournament will be a team event but with individual champions in the various divisions using the PAL scoring system similar to the format of the annual Fil-Am Invitational Tournament. But this time, each team will field four players and all of their scores will be counted. Registration fee is P50,000 for each team, which entitles each player to a special token, dinner, and raffle prizes. Practice rounds will be on May 16 to 17 in both courses. The tournament will be at CJH on May 18 to 19 while the competition at PGCC will be on May 18 to 20. The regular division will be composed of the championship flight and class A, B, and C while the seniors will have two divisions based on team handicaps. CGFI President Arnel Peil hopes that with the support of the golfing community, the foundation can reach out to learners in depressed areas in the six provinces of the Cordillera and Baguio City. Peil said CGFI also has plans to conduct an outreach mission to help people in need of medical assistance. Earlier, GCFI Corporate Secretary Marlo Quadra has dispatched letters to the Department of Education to help identify the possible school beneficiaries of the tournament. For more details about the tournament, contact CGFI secretariat at 0917-889-8917, or email cordilleragolfers@gmail.com. – Harley F. Palangchao  "
20,La Trinidad reigns in Benguet Sports Meet,"APRIL 16, 2023","LA TRINIDAD ON TOP — The host town of La Trinidad topped the recently held Benguet Sports Meet with 162 gold, 83 silver, and 62 bronze medals. Here, Jasper Dagdag of La Trinidad clinched the gold medal against Zerjake Panijoc of Itogon via retirement in their 54-kilogram match in Muay Thai. — Augustin Dao-anis   La Trinidad, Benguet, host of this year’s Benguet Provincial Sports Meet, is the overall winner after its athletes amassed 162 gold, 83 silver, and 62 bronze medals during the event held April 1 to 5. La Trinidad, considered as the perpetual provincial meet champion, ruled the elementary level with 51-36-23 medals and clinched 111-47-39 medals in the secondary level. The capital town also ruled the para games with 22-153 while Tublay placed second with two gold and one bronze medal. Back in the overall games result, Itogon and Mankayan settled for second and third place with the former winning 49-45-60 medals while the latter got 27-36-31 medals. Tuba followed with 21-24-28 medals on fourth. Due to its strong showings in dancesports, taekwondo, arnis and field events, Bokod surprised the bunch as it placed fifth with 20-34-36 medals. Sablan finished in sixth place, followed by Tublay and Buguias in seventh and eighth place, respectively, while BSU showed a slowing down of its athletes’ performance as it settled for ninth place. The 10th to 14th placers are Kapangan, Atok, Kibungan, Kabayan, and Bakun. Tublay, meanwhile, topped the indigenous games with two gold and one bronze medal while Bokod and La Trinidad tied with one gold and one bronze medal in second place and Kabayan with one gold medal in third place. The sporting event, which is in preparation for the Cordillera Administrative Region Athletic Association Meet next month, is organized by the Department of Education. The events to be played during the Caraa in the secondary are archery, arnis, athletics, billiards, boxing, chess, futsal, gymnastics, taekwondo, tennis, wrestling, wushu, and swimming. To be played in the elementary are arnis, athletics, chess, gymnastics, taekwondo, tennis, and swimming.  These focus-sports are based on the region’s Palarong Pambansa performance for the past three years. – Ofelia C. Empian  "
